,US Muni,US Tbill 1-3yr,US AGG,Global AGG,US Dollar,Commodities,Long Short HF,Event Driven HF,HF FOF Div,Relative Value HF,EM Bond,TIPs,High Yield,MSCI World,MSCI Canada,MSCI EAFE,MSCI EM Equity,MSCI Europe,MSCI Japan,MSCI Asia ex-J,US Growth,US Value,US Small Cap,US Mid Cap,Gold,S&P500,Cash
Date,LM17TR,LT01TRUU,LBUSTRUU,LEGATRUU,USTW$,BCOMTR,HFRIEHI,HFRIEDI,HFRIFOFD,HFRIRVA,JPEIGLBL,SPBDU1ST,H0A0,NDDUWI,NDDUCA,NDDUEAFE,NDUEEGF,NDDUE15,NDDUJN,NDUECAXJ,RU10GRTR,RU10VATR,RU20INTR,RUMCINTR,GOLDS,SPTR,LD12TRUU
30-Jan,0.45%,0.21%,0.80%,0.37%,-2.06%,1.81%,1.95%,2.80%,1.54%,1.21%,0.51%,1.23%,1.62%,1.60%,1.05%,1.41%,3.49%,1.17%,1.81%,6.02%,2.04%,1.76%,4.34%,2.91%,-3.13%,1.84%,0.07%
27-Feb,1.45%,0.50%,1.08%,0.52%,0.56%,6.49%,1.11%,1.20%,1.09%,0.55%,0.35%,2.48%,-0.11%,1.67%,2.16%,2.31%,4.59%,2.93%,-0.29%,3.35%,0.64%,2.14%,0.90%,2.15%,-1.57%,1.39%,0.07%
31-Mar,-0.48%,0.32%,0.75%,1.11%,1.82%,3.09%,0.36%,0.06%,0.44%,0.43%,2.50%,1.74%,0.67%,-0.66%,-0.49%,0.56%,1.25%,-3.12%,13.43%,-1.71%,-1.86%,-0.88%,0.93%,0.02%,7.65%,-1.51%,0.08%
30-Apr,-2.09%,-1.01%,-2.60%,-3.66%,1.14%,-1.77%,-2.08%,-0.56%,-0.71%,-0.51%,-5.43%,-4.65%,-0.66%,-2.05%,-8.34%,-2.26%,-8.19%,-0.83%,-5.42%,-5.50%,-1.16%,-2.44%,-5.10%,-3.67%,-9.31%,-1.57%,0.08%
31-May,-0.23%,-0.11%,-0.40%,0.49%,1.70%,1.70%,-0.19%,-0.31%,-0.88%,-0.34%,-1.48%,1.64%,-1.57%,0.91%,2.65%,0.34%,-2.00%,1.62%,-3.51%,-3.36%,1.86%,1.02%,1.59%,2.48%,2.28%,1.37%,0.08%
30-Jun,0.34%,-0.01%,0.57%,0.29%,-1.58%,-4.15%,1.06%,1.76%,0.36%,0.16%,1.47%,-0.26%,1.45%,2.05%,4.24%,2.19%,0.43%,1.34%,5.39%,-0.90%,1.25%,2.36%,4.21%,2.77%,-0.33%,1.94%,0.07%
30-Jul,1.15%,0.37%,0.99%,-0.02%,-1.27%,1.77%,-1.88%,-0.93%,-0.56%,0.65%,2.97%,1.61%,1.35%,-3.26%,0.08%,-3.25%,-1.83%,-2.75%,-5.93%,-2.07%,-5.65%,-1.41%,-6.73%,-4.37%,-0.81%,-3.31%,0.10%
31-Aug,1.81%,0.71%,1.91%,2.19%,0.29%,-1.82%,-0.37%,0.49%,-0.01%,0.83%,4.13%,2.60%,1.82%,0.44%,0.02%,0.44%,4.15%,0.06%,0.72%,4.82%,-0.49%,1.42%,-0.51%,0.43%,4.81%,0.40%,0.11%
30-Sep,0.38%,-0.08%,0.27%,1.18%,-0.52%,6.85%,1.99%,1.36%,0.82%,0.36%,1.66%,0.16%,1.39%,1.89%,7.56%,2.61%,5.77%,4.01%,-2.35%,3.84%,0.95%,1.55%,4.69%,3.25%,2.05%,1.08%,0.12%
29-Oct,0.67%,0.32%,0.84%,2.40%,-2.28%,1.69%,0.47%,1.49%,0.78%,0.31%,1.61%,1.42%,1.93%,2.45%,6.29%,3.41%,2.39%,3.61%,2.61%,0.65%,1.56%,1.66%,1.97%,2.76%,2.46%,1.53%,0.12%
30-Nov,-0.86%,-0.51%,-0.80%,2.65%,-3.89%,-1.20%,3.37%,4.03%,2.64%,1.07%,0.70%,-0.71%,1.04%,5.25%,4.07%,6.83%,9.26%,7.34%,4.83%,8.87%,3.44%,5.06%,8.67%,6.09%,5.23%,4.05%,0.14%
31-Dec,0.97%,0.21%,0.92%,1.53%,-1.07%,-4.91%,1.76%,2.80%,1.50%,0.75%,2.50%,1.38%,1.51%,3.82%,1.84%,4.39%,4.80%,4.23%,5.13%,3.07%,3.92%,3.35%,2.96%,4.26%,-2.77%,3.40%,0.19%
31-Jan,0.52%,-0.04%,0.63%,-1.05%,1.17%,1.04%,-0.58%,-0.15%,0.02%,0.30%,0.63%,0.54%,-0.10%,-2.25%,-3.98%,-1.83%,0.25%,-1.85%,-2.32%,0.63%,-3.33%,-1.78%,-4.17%,-2.48%,-3.62%,-2.44%,0.17%
28-Feb,-0.46%,-0.24%,-0.59%,0.19%,0.93%,7.06%,2.13%,1.38%,1.42%,0.78%,0.67%,-0.72%,1.43%,3.17%,6.41%,4.32%,8.72%,5.00%,2.06%,5.61%,1.06%,3.31%,1.69%,3.09%,3.09%,2.10%,0.16%
31-Mar,-0.70%,-0.01%,-0.51%,-1.21%,-1.14%,3.57%,-1.05%,-0.20%,-0.52%,-0.35%,-2.55%,-0.44%,-2.73%,-1.94%,1.38%,-2.51%,-6.61%,-2.52%,-2.07%,-4.60%,-1.82%,-1.37%,-2.86%,-0.79%,-1.68%,-1.77%,0.23%
29-Apr,1.44%,0.58%,1.35%,1.31%,1.66%,-5.83%,-2.23%,-1.71%,-1.51%,-0.84%,1.58%,2.53%,-1.07%,-2.18%,-5.43%,-2.35%,-2.68%,-2.53%,-2.57%,-1.32%,-1.90%,-1.79%,-5.73%,-3.19%,1.41%,-1.90%,0.22%
31-May,0.50%,0.38%,1.08%,-1.34%,1.41%,-0.78%,1.55%,1.20%,0.22%,-0.10%,2.99%,0.69%,1.79%,1.78%,2.18%,0.05%,3.48%,0.35%,-0.91%,2.83%,4.84%,2.41%,6.55%,4.79%,-3.95%,3.18%,0.24%
30-Jun,0.53%,0.19%,0.55%,-0.45%,1.82%,1.68%,1.96%,1.32%,1.30%,0.96%,1.78%,0.37%,1.90%,0.87%,6.06%,1.33%,3.40%,1.38%,-0.10%,2.79%,-0.37%,1.09%,3.86%,2.69%,4.37%,0.14%,0.23%
29-Jul,-0.58%,-0.30%,-0.91%,-0.80%,0.93%,4.48%,2.95%,2.35%,1.80%,1.34%,-0.25%,-1.82%,1.57%,3.49%,5.48%,3.07%,6.99%,3.64%,1.00%,6.41%,4.89%,2.89%,6.34%,5.27%,-1.31%,3.72%,0.24%
31-Aug,0.89%,0.63%,1.28%,1.65%,-1.80%,7.55%,0.74%,0.89%,0.85%,0.69%,1.94%,2.50%,0.36%,0.75%,5.90%,2.53%,0.86%,1.49%,6.96%,-2.92%,-1.29%,-0.43%,-1.85%,-0.70%,1.26%,-0.91%,0.28%
30-Sep,-0.53%,-0.27%,-1.03%,-1.59%,-0.53%,4.65%,2.25%,1.00%,1.53%,1.18%,1.69%,-0.53%,-1.00%,2.60%,5.99%,4.45%,9.31%,2.43%,10.33%,5.44%,0.46%,1.40%,0.31%,1.33%,7.84%,0.81%,0.30%
