factor,median_beta_ts,beta_std_ts,sign_flip_rate,tstat_hit_rate_ts
HF FOF Div,0.22896220313349974,0.5005263043965508,0.059523809523809514,0.2549019607843137
MSCI Canada,0.03853572147330114,0.2911175209565869,0.04365079365079364,0.3235294117647059
EM Bond,-0.012900350764683792,0.4354808523933889,0.07539682539682539,0.20980392156862746
High Yield,0.04081420930892034,0.34790735980140525,0.09325396825396826,0.19019607843137254
MSCI Japan,-0.002249852988563149,0.18318784397559215,0.08333333333333336,0.10784313725490197
Commodities,0.006918375726190962,0.2923277995893758,0.08928571428571429,0.21764705882352942
US Dollar,0.05795034906635021,0.2948395665401106,0.08134920634920635,0.15098039215686274
TIPs,0.10557139023727867,0.6947580966124347,0.07539682539682539,0.30392156862745096
Global AGG,0.22400202285420007,0.6732876697975322,0.06349206349206349,0.2725490196078431
US Tbill 1-3yr,0.17517833407726902,2.5576816177007164,0.07341269841269842,0.2411764705882353
US Muni,-0.09331100197830647,1.0297401984185326,0.05555555555555555,0.1803921568627451
Gold,0.0051097938658250415,0.20080755736307884,0.061507936507936505,0.41568627450980394
