factor,cluster,median_rsq,hits_95,sign_consistency
HF FOF Div,1,0.3323040290517192,4.0,0.6666666666666666
MSCI Canada,2,0.3414653637932884,5.0,0.6666666666666666
EM Bond,3,0.2513015806460923,6.0,1.0
High Yield,4,0.1983317347252279,4.0,1.0
MSCI Japan,5,0.151719916250177,5.0,1.0
Commodities,6,0.2224737247531381,5.0,0.6666666666666666
US Dollar,7,0.0956363081920254,5.0,1.0
TIPs,8,0.0706311153916482,3.0,1.0
Global AGG,9,0.1933762412445641,6.0,1.0
US Tbill 1-3yr,10,0.0760891186020774,3.0,0.0
US Muni,11,0.0083433054806699,2.0,0.6666666666666666
Gold,12,0.1383273183833234,5.0,1.0
