,Asset 1,Asset 2,Asset 3,Asset 4,Asset 5,EWP
HF FOF Div,-0.03382778317577252,0.5908425657304559,0.39177801714624394,0.6711671366280705,-0.07452788173720067,0.30908641091835964
MSCI Canada,0.0015214183031824723,0.6201452581790126,0.2221363301334927,0.008321514545054063,-0.013568078435335952,0.16771128854508108
EM Bond,0.15165736787421455,-0.19496190671165242,0.0028237941869177496,-0.16373888607858972,-0.01383489945540356,-0.04361090603690277
High Yield,-0.04983614170136045,0.5696078258841837,0.19835957771231855,-0.12904719772856285,0.14027211324850078,0.14587123548301556
MSCI Japan,-0.0006218408376488585,-0.06637112515025166,-0.04101366316418702,0.01913694613717,0.006717818084563704,-0.016430372986070755
Commodities,-0.02534649532774169,-0.31087913777929654,0.5853647920195043,0.02849635923028643,0.0011630350525954902,0.05575971063906956
US Dollar,0.017147306497568245,0.3960925584688889,-0.318138976452351,0.0641495329233755,-0.03444970402476841,0.024960143482542677
TIPs,0.08306621235403935,0.1852431781218412,-0.20514853864789923,-0.11509041992243196,0.9328414860776895,0.17618238359664778
Global AGG,0.019040929034665033,0.7215408185288175,0.3470371866225455,0.3028532337662596,-0.0038205842469178075,0.2773303167410735
US Tbill 1-3yr,0.7250360213886773,-1.6878136625820166,0.08648364413701182,0.6323925792572882,-0.03760231159093719,-0.05630074587799361
US Muni,0.07009104621403209,-0.7847720599563097,-0.4284191155616135,0.12512256907949854,-0.11390090470905657,-0.22637569298668903
Gold,0.008503882251199774,-0.1850384595209189,0.017185272846875016,0.0617221790102921,0.010750839909188105,-0.01737525710067278
