weights_tuple,weights_pretty
"(0.0, 0.1, 0.3, 0.3, 0.3)","(0%, 10%, 30%, 30%, 30%)"
"(0.0, 0.15, 0.25, 0.3, 0.3)","(0%, 15%, 25%, 30%, 30%)"
"(0.0, 0.15, 0.3, 0.25, 0.3)","(0%, 15%, 30%, 25%, 30%)"
"(0.0, 0.15, 0.3, 0.3, 0.25)","(0%, 15%, 30%, 30%, 25%)"
"(0.0, 0.2, 0.2, 0.3, 0.3)","(0%, 20%, 20%, 30%, 30%)"
"(0.0, 0.2, 0.25, 0.25, 0.3)","(0%, 20%, 25%, 25%, 30%)"
"(0.0, 0.2, 0.25, 0.3, 0.25)","(0%, 20%, 25%, 30%, 25%)"
"(0.0, 0.2, 0.3, 0.2, 0.3)","(0%, 20%, 30%, 20%, 30%)"
"(0.0, 0.2, 0.3, 0.25, 0.25)","(0%, 20%, 30%, 25%, 25%)"
"(0.0, 0.2, 0.3, 0.3, 0.2)","(0%, 20%, 30%, 30%, 20%)"
"(0.0, 0.25, 0.15, 0.3, 0.3)","(0%, 25%, 15%, 30%, 30%)"
"(0.0, 0.25, 0.2, 0.25, 0.3)","(0%, 25%, 20%, 25%, 30%)"
"(0.0, 0.25, 0.2, 0.3, 0.25)","(0%, 25%, 20%, 30%, 25%)"
"(0.0, 0.25, 0.25, 0.2, 0.3)","(0%, 25%, 25%, 20%, 30%)"
"(0.0, 0.25, 0.25, 0.25, 0.25)","(0%, 25%, 25%, 25%, 25%)"
"(0.0, 0.25, 0.25, 0.3, 0.2)","(0%, 25%, 25%, 30%, 20%)"
"(0.0, 0.25, 0.3, 0.15, 0.3)","(0%, 25%, 30%, 15%, 30%)"
"(0.0, 0.25, 0.3, 0.2, 0.25)","(0%, 25%, 30%, 20%, 25%)"
"(0.0, 0.25, 0.3, 0.25, 0.2)","(0%, 25%, 30%, 25%, 20%)"
"(0.0, 0.25, 0.3, 0.3, 0.15)","(0%, 25%, 30%, 30%, 15%)"
"(0.0, 0.3, 0.1, 0.3, 0.3)","(0%, 30%, 10%, 30%, 30%)"
"(0.0, 0.3, 0.15, 0.25, 0.3)","(0%, 30%, 15%, 25%, 30%)"
"(0.0, 0.3, 0.15, 0.3, 0.25)","(0%, 30%, 15%, 30%, 25%)"
"(0.0, 0.3, 0.2, 0.2, 0.3)","(0%, 30%, 20%, 20%, 30%)"
"(0.0, 0.3, 0.2, 0.25, 0.25)","(0%, 30%, 20%, 25%, 25%)"
"(0.0, 0.3, 0.2, 0.3, 0.2)","(0%, 30%, 20%, 30%, 20%)"
"(0.0, 0.3, 0.25, 0.15, 0.3)","(0%, 30%, 25%, 15%, 30%)"
"(0.0, 0.3, 0.25, 0.2, 0.25)","(0%, 30%, 25%, 20%, 25%)"
"(0.0, 0.3, 0.25, 0.25, 0.2)","(0%, 30%, 25%, 25%, 20%)"
"(0.0, 0.3, 0.25, 0.3, 0.15)","(0%, 30%, 25%, 30%, 15%)"
"(0.0, 0.3, 0.3, 0.1, 0.3)","(0%, 30%, 30%, 10%, 30%)"
"(0.0, 0.3, 0.3, 0.15, 0.25)","(0%, 30%, 30%, 15%, 25%)"
"(0.0, 0.3, 0.3, 0.2, 0.2)","(0%, 30%, 30%, 20%, 20%)"
"(0.0, 0.3, 0.3, 0.25, 0.15)","(0%, 30%, 30%, 25%, 15%)"
"(0.0, 0.3, 0.3, 0.3, 0.1)","(0%, 30%, 30%, 30%, 10%)"
"(0.05, 0.05, 0.3, 0.3, 0.3)","(5%, 5%, 30%, 30%, 30%)"
"(0.05, 0.1, 0.25, 0.3, 0.3)","(5%, 10%, 25%, 30%, 30%)"
"(0.05, 0.1, 0.3, 0.25, 0.3)","(5%, 10%, 30%, 25%, 30%)"
"(0.05, 0.1, 0.3, 0.3, 0.25)","(5%, 10%, 30%, 30%, 25%)"
"(0.05, 0.15, 0.2, 0.3, 0.3)","(5%, 15%, 20%, 30%, 30%)"
"(0.05, 0.15, 0.25, 0.25, 0.3)","(5%, 15%, 25%, 25%, 30%)"
"(0.05, 0.15, 0.25, 0.3, 0.25)","(5%, 15%, 25%, 30%, 25%)"
"(0.05, 0.15, 0.3, 0.2, 0.3)","(5%, 15%, 30%, 20%, 30%)"
"(0.05, 0.15, 0.3, 0.25, 0.25)","(5%, 15%, 30%, 25%, 25%)"
"(0.05, 0.15, 0.3, 0.3, 0.2)","(5%, 15%, 30%, 30%, 20%)"
"(0.05, 0.2, 0.15, 0.3, 0.3)","(5%, 20%, 15%, 30%, 30%)"
"(0.05, 0.2, 0.2, 0.25, 0.3)","(5%, 20%, 20%, 25%, 30%)"
"(0.05, 0.2, 0.2, 0.3, 0.25)","(5%, 20%, 20%, 30%, 25%)"
"(0.05, 0.2, 0.25, 0.2, 0.3)","(5%, 20%, 25%, 20%, 30%)"
"(0.05, 0.2, 0.25, 0.25, 0.25)","(5%, 20%, 25%, 25%, 25%)"
"(0.05, 0.2, 0.25, 0.3, 0.2)","(5%, 20%, 25%, 30%, 20%)"
"(0.05, 0.2, 0.3, 0.15, 0.3)","(5%, 20%, 30%, 15%, 30%)"
